epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.761,1.43874,3.11792,2.52211,1.17571,0.076,0.84444,0.08819,0.03704,0.02733,0.3037,0.01954,0.00618,1.78046,13.3851,2.48169,1.26582,0.0901,0.0001,0.0001
2,150.95,1.28408,2.23121,1.69835,1.06617,0.07567,0.84074,0.65138,0.26786,0,0,0,0,1.61213,60.2349,2.40336,1.21706,0.0792031,0.00020307,0.00020307
3,218.162,1.25691,2.13152,1.42825,1.10462,0.05367,0.5963,0.43358,0.15725,0.00033,0.0037,0.00017,2e-05,1.49124,54.3271,2.57263,1.21181,0.0682989,0.00029888,0.00029888
4,285.746,1.24871,2.08384,1.23346,1.08254,0.064,0.71111,0.29963,0.11455,0,0,0,0,1.41391,38.7833,2.63937,1.17538,0.0573874,0.00038743,0.00038743
5,351.213,1.26134,2.0574,1.16621,1.08703,0.087,0.96667,0.68775,0.3758,0.06,0.66667,0.35894,0.10385,1.35814,10.8054,2.32578,1.10368,0.0464687,0.00046872,0.00046872
6,413.875,1.16103,1.89861,1.12494,1.06613,0.9363,0.54436,0.88863,0.54559,0.86622,0.50362,0.78112,0.31244,1.23377,4.61868,1.97293,1.08484,0.0355428,0.00054275,0.00054275
7,478.941,1.21426,1.89152,1.0124,1.06637,0.95427,0.85006,0.96646,0.59752,0.91094,0.80741,0.90159,0.45981,1.25838,2.90774,1.58933,1.11729,0.0246095,0.00060952,0.00060952
8,545.939,1.13824,1.80441,1.03135,1.06105,0.97515,0.87218,0.97704,0.60731,0.95859,0.85736,0.95795,0.5152,1.27221,2.21548,1.59555,1.12219,0.013669,0.00066903,0.00066903
9,609.433,1.19543,1.99858,1.03896,1.05553,0.97626,0.76146,0.97655,0.61639,0.97626,0.76146,0.97322,0.53375,1.22985,1.85975,1.73282,1.08439,0.00272128,0.00072128,0.00072128
10,674.905,1.15852,1.78693,0.99017,1.05702,0.96014,0.89212,0.98104,0.63791,0.95217,0.88472,0.97628,0.55047,1.18822,1.82267,1.47765,1.04532,0.000703,0.000703,0.000703
11,740.037,1.15231,1.80088,0.93942,1.03289,0.9491,0.97037,0.98451,0.64819,0.94548,0.96667,0.9791,0.55416,1.17611,1.78688,1.09025,1.03116,0.00067,0.00067,0.00067
12,806.154,1.15283,1.77414,0.88333,1.0102,0.97003,0.95915,0.98713,0.65656,0.96254,0.95174,0.98146,0.55969,1.15218,1.70826,0.79413,1.04194,0.000637,0.000637,0.000637
13,870.522,1.13698,1.71873,0.9384,1.05157,0.95353,0.96296,0.98967,0.66307,0.95353,0.96296,0.98976,0.56402,1.15091,1.67991,0.7847,1.04083,0.000604,0.000604,0.000604
14,936.135,1.06946,1.67072,0.90045,1.00811,0.95748,0.96296,0.98888,0.68449,0.95748,0.96296,0.98884,0.56324,1.11363,1.62055,0.79495,1.03407,0.000571,0.000571,0.000571
15,999.186,1.06345,1.70339,0.93734,1.04197,0.96589,0.98519,0.99254,0.68485,0.96669,0.96748,0.99195,0.58018,1.11428,1.61605,0.82684,1.04758,0.000538,0.000538,0.000538
16,1062.7,1.04933,1.64098,0.87441,1.01767,0.96374,0.97778,0.99095,0.68487,0.96485,0.97778,0.99129,0.58058,1.08379,1.56172,0.79889,1.03372,0.000505,0.000505,0.000505
17,1126.79,1.03155,1.58452,0.84595,1.01802,0.94706,0.97037,0.9815,0.67239,0.94864,0.9577,0.97762,0.56374,1.08708,1.56082,0.79295,1.03678,0.000472,0.000472,0.000472
18,1190.32,1.02883,1.60672,0.88191,1.01733,0.94592,0.97168,0.98192,0.67797,0.94943,0.96667,0.98311,0.57903,1.07995,1.5376,0.78809,1.03363,0.000439,0.000439,0.000439
19,1252.89,1.03314,1.58555,0.85258,1.02712,0.96396,0.97407,0.98761,0.68717,0.9603,0.97037,0.98717,0.59785,1.063,1.50609,0.75493,1.01947,0.000406,0.000406,0.000406
20,1318.63,1.00888,1.52155,0.84049,1.00113,0.97893,0.98148,0.99297,0.698,0.97774,0.976,0.99257,0.6001,1.04318,1.51369,0.72947,1.00405,0.000373,0.000373,0.000373
21,1364.58,0.99649,1.62984,0.96979,1.02292,0.97933,0.98148,0.99392,0.69039,0.99392,0.97407,0.99371,0.59495,1.05479,1.51566,0.73215,1.00364,0.00034,0.00034,0.00034
22,1407.41,1.02321,1.5948,0.96619,1.02288,0.98576,0.97778,0.99374,0.68969,0.99159,0.98148,0.9938,0.59715,1.06806,1.51231,0.73422,1.00383,0.000307,0.000307,0.000307
23,1449.95,0.96885,1.48138,0.91051,1.01467,0.98884,0.98421,0.994,0.69537,0.98882,0.98276,0.99387,0.6023,1.06006,1.48965,0.75131,0.99867,0.000274,0.000274,0.000274
24,1496.93,0.98804,1.5471,0.93202,1.0041,0.98883,0.98406,0.99433,0.69643,0.98883,0.98406,0.99386,0.5969,1.05589,1.47842,0.75749,0.99834,0.000241,0.000241,0.000241
25,1540.45,1.02798,1.63316,0.92002,0.99662,0.98876,0.9774,0.9938,0.70051,0.98876,0.9774,0.99362,0.59138,1.04259,1.46826,0.75063,0.9941,0.000208,0.000208,0.000208
26,1583.41,1.02131,1.6156,0.89204,0.99622,0.98642,0.97407,0.99385,0.70483,0.9861,0.97407,0.99381,0.59053,1.03818,1.46446,0.7364,0.99266,0.000175,0.000175,0.000175
27,1626.64,0.98435,1.50002,0.84014,1.00077,0.98872,0.97379,0.99392,0.70545,0.98135,0.97427,0.99388,0.59495,1.03539,1.46403,0.72733,0.99236,0.000142,0.000142,0.000142
28,1671,0.9751,1.49611,0.87642,1.00405,0.97439,0.98635,0.99384,0.70923,0.97443,0.98801,0.9937,0.59378,1.02882,1.46315,0.7146,0.99489,0.000109,0.000109,0.000109
29,1716.09,0.98222,1.5494,0.8761,1.01239,0.97389,0.98889,0.99391,0.70907,0.9737,0.98889,0.99369,0.59593,1.02434,1.46142,0.70779,0.99434,7.6e-05,7.6e-05,7.6e-05
30,1761.13,0.9839,1.53757,0.83697,0.99758,0.97216,0.98889,0.99391,0.70907,0.97216,0.98889,0.99368,0.59242,1.02076,1.46031,0.70245,0.99361,4.3e-05,4.3e-05,4.3e-05
